uuid,year,title,artist,genre,priority_artist_gender,lyrics
1,1995,Every Little Thing I Do,Soul for Real,rb,m,"You are on my mind You are on my mind Every little thing I do you're on my mind The way I feel lately, it's driving me crazy Every little thing I do you're on my mind I can't get over you, I think about you all the time Can't you see what you do to me I think about you all the time My mind is hazy and I'm mixed up feeling crazy over you Let's not waste anytime Every little thing I do you're on my mind The way I feel lately, it's driving me crazy Every little thing I do you're on my mind I can't get over you, I think about you all the time Round and round I go, where I'll stop only you know I guess it's all in my mind Take your time think it over let me know What you wanna do, baby it's so good Every little thing I do you're on my mind The way I feel lately, it's driving me crazy Every little thing I do you're on my mind I can't get over you, I think about you all the time Every little thing I do you're on my mind You're on my mind, hey Every little thing I do you're on my mind You're on my mind Every little thing I do you're on my mind You're on my mind Every little thing I do you're on my mind You're on my mind, hey Every little thing I do you're on my mind The way I feel lately, it's driving me crazy Every little thing I do you're on my mind I can't get over you, I think about you all the time Every little thing I do you're on my mind The way I feel lately, it's driving me crazy Every little thing I do you're on my mind I can't get over you, I think about you all the time Every little thing I do you're on my mind The way I feel lately, it's driving me crazy Every little thing I do you're on my mind I can't get over you, I think about you all the time The way I feel lately, it's driving me crazy Every little thing I do you're on my mind You're on my mind, hey Every little thing I do you're on my mind You're on my mind, hey Every little thing I do you're on my mind You're on my mind, hey Every little thing I do you're on my mind You're on my mind, hey Every little thing I do you're on my mind You're on my mind, hey Every little thing I do you're on my mind You're on my mind, hey Every little thing I do you're on my mind"
2,1995,Before I Let You Go,Blackstreet,contemporary rb,m,"Hey, here comes Sherry What's up with her and her homeboy? Don't know, man One minute they're kicking and one minute they're not I know what it's gonna take What? That one kiss goodnight, that's it 1-Before I let you go, before I let you go Can I get a kiss, goodnight, baby Baby Lately, I've been thinking something's going wrong because you got an attitude And you're not in the mood like you used to Girl, I can feel it when I hold you in my arms The feeling is not the same Can I be the one to blame? 2-I don't wanna lose your love, mmm I don't wanna say bye-bye, oh no no True love is so hard to find And it's right between your lips and mine, and mine Turn the lights down low Let's take it nice and slow My mission is to keep you mine Don't want this to be the last time We make sweet love Baby, I know you feel it, too It's bigger than the both of us There's one thing I'm so certain of It's always the little things, I remember And I can't just let it slip away Slip away Teddy, won't you play the music for me Teddy, won't you play Backstreet side? Baby I get so lonely Sometimes, I Baby my heart is broken sometimes I need you right now, I don't I can't let you slip away, slip away I don't see it being a problem If I just get one little bitty kiss baby I just can't let you get away, oh yeah Lord, have mercy I don't want lose your sweet love So don't say good-bye, say good-night"
3,1995,Big Poppa,The Notorious B.I.G.,hip hop,m,uh uh check it out yeah junior mafia uh um i like this yeah uh yeah 94 to all the ladies in the place with style and grace allow me to lace these lyrical duches in your bushes who rock grooves and make moves with all the mommies the back of the club sippin moet is where youll find me the back of the club mackin hoes my crews behind me mad question askin blunt passin music blastin but i just cant quit because one of these honies biggie gots ta creep with sleep with keep the ep a secret why not why blow up my spot cause we both got hot now check it i got more mack than craig and in the bed believe me sweety i got enough to feed the needy no need to be greedy i got mad friends with benzs cnotes by the layers true fuckin players jump in the rover and come over tell your friends jump in the gs3 i got the chronic by the tree cuz i love it when you call me big poppa throw your hands in the air if yous a true player i love it when you call me big poppa to the honeys gettin money playin niggaz like dummies i love it when you call me big poppa you got a gun up in your waist please dont shoot up the place why cuz i see some ladies tonight that should be havin my baby babystraight up hunnie really im askin most of these niggas think they be mackin but they be actin who they attractin with that line whats your name whats your sign soon as he buy that wine i just creep up from behind and ask what your interests are who you be with things to make you smile what numbers to dial you gon be here for a while im gon go call my crew you go call your crew we can rendezvous at the bar around two plans to leave throw the keys to lil cease pull the truck up front and roll up the next blunt so we can steam on the way to the telly go fill my belly a tbone steak cheese eggs and welchs grape conversate for a few cuz in a few we gon do what we came to do aint that right boo true forget the telly we just go to the crib and watch a movie in the jacuzzi smoke ls while you do me i love it when you call me big poppa throw your hands in the air if yous a true player i love it when you call me big poppa to the honeys gettin money playin niggaz like dummies i love it when you call me big poppa you got a gun up in your waist please dont shoot up the place why cuz i see some ladies tonight that should be havin my baby baby how ya livin biggie smallz in mansion and benzs givin ends to my friends and it feels stupendous tremendous cream fuck a dollar and a dream still tote gats strapped with infrared beams choppin os smokin lines optimos money hoes and clothes all a nigga knows a foolish pleasure whatever i had to find the buried treasure so grams i had to measure however living better now gucci sweater now drop top bms im the man girlfriend honey check it tell your friends to get with my friends and we can be friends shit we can do this every weekend aight is that aight with you yeah keep bangin i love it when you call me big poppa throw your hands in the air if yous a true player i love it when you call me big poppa to the honeys gettin money playin niggaz like dummies i love it when you call me big poppa you got a gun up in your waist please dont shoot up the place why cuz i see some ladies tonight that should be havin my baby baby uhh check it out my full shit for that ass uhh puff daddy biggie smalls junior mafia represent baby baybay uhh
4,1995,Sukiyaki,4 P.M.,rb,m,its all because of you im feeling sad and blue you went away now my life is just a rainy dayand i love you so how much youll never know youve gone away and left me lonelyuntouchable memories seem to keep haunting me of a love so true that it once turned all my gray skies bluebut you disappeared now my eyes are filled with tears and im wishing you were here with mesoaked with love are my thoughts of you now that youre gone i just dont know what to doif only you were here youd wash away my tears the sun would shine and once again youd be mine all minebut in reality you and i will never be cause you took your love away from megirl i dont know what i did to make you leave me but what i do know is that since youve been gone theres such an emptiness inside im wishing youd come back to meif only you were here youd wash away my tears the sun would shine and once again youd be mine all minebut in reality you and i will never be cause you took your love away from meoh baby you took your love away from me
5,1995,I'll Make Love to You,Boyz II Men,rb,m,"Close your eyes, make a wish And blow out the candlelight For tonight is just your night We're gonna celebrate all thru the night Pour the wine, light the fire Girl your wish is my command I submit to your demands I will do anything, girl you need only ask I'll make love to you Like you want me to And I'll hold you tight Baby all through the night I'll make love to you When you want me to And I will not let go 'Till you tell me to Girl relax, let's go slow I ain't got nowhere to go I'm just gonna concentrate on you Girl are you ready, it's gonna be a long night Throw your clothes on the floor I'm gonna take my clothes off too I made plans to be with you Girl whatever you ask me, you know, I will do I'll make love to you Like you want me to And I'll hold you tight Baby all through the night I'll make love to you When you want me to And I will not let go 'Till you tell me to Baby tonight is your night And I will do you right Just make a wish on your night Anything that you ask I will give you the love of your life I'll make love to you Like you want me to And I'll hold you tight Baby all through the night I'll make love to you When you want me to And I will not let go 'Till you tell me to I'll make love to you Like you want me to And I'll hold you tight Baby all through the night I'll make love to you When you want me to And I will not let go 'Till you tell me to"
6,1995,Dear Mama,2Pac,hip hop ,m,you are appreciatedwhen i was young me and my mama had beef seventeen years old kicked out on the streets though back at the time i never thought id see her face aint a woman alive that could take my mamas place suspended from school and scared to go home i was a fool with the big boys breaking all the rules i shed tears with my baby sister over the years we was poorer than the other little kids and even though we had different daddys the same drama when things went wrong wed blame mama i reminisce on the stress i caused it was hell hugging on my mama from a jail cell and whod think in elementary hey i see the penitentiary one day and running from the police thats right mama catch me put a whooping to my backside and even as a crack fiend mama you always was a black queen mama i finally understand for a woman it aint easy trying to raise a man you always was committed a poor single mother on welfare tell me how ya did it theres no way i can pay you back but the plan is to show you that i understand you are appreciatedlady dont ya know we love ya sweet lady dear mama place no one above ya sweet lady you are appreciated dont ya know we love yanow aint nobody tell us it was fair no love from my daddy cause the coward wasnt there he passed away and i didnt cry cause my anger wouldnt let me feel for a stranger they say im wrong and im heartless but all along i was looking for a father he was gone i hung around with the thugs and even though they sold drugs they showed a young brother love i moved out and started really hanging i needed money of my own so i started slanging i aint guilty cause even though i sell rocks it feels good putting money in your mailbox i love paying rent when the rents due i hope ya got the diamond necklace that i sent to you cause when i was low you was there for me and never left me alone because you cared for me and i could see you coming home after work late youre in the kitchen trying to fix us a hot plate ya just working with the scraps you was given and mama made miracles every thanksgiving but now the road got rough youre alone youre trying to raise two bad kids on your own and theres no way i can pay you back but my plan is to show you that i understand you are appreciatedlady dont ya know we love ya sweet lady and dear mama place no one above ya sweet lady you are appreciated dont ya know we love yapour out some liquor and i reminisce cause through the drama i can always depend on my mama and when it seems that im hopeless you say the words that can get me back in focus when i was sick as a little kid to keep me happy theres no limit to the things you did and all my childhood memories are full of all the sweet things you did for me and even though i act crazy i gotta thank the lord that you made me there are no words that can express how i feel you never kept a secret always stayed real and i appreciate how you raised me and all the extra love that you gave me i wish i could take the pain away if you can make it through the night theres a brighter day everything will be alright if ya hold on its a struggle everyday gotta roll on and theres no way i can pay you back but my plan is to show you that i understand you are appreciatedlady dont ya know we love ya sweet lady and dear mama place no one above ya sweet lady you are appreciated dont ya know we love yasweet lady and dear mamadear mama lady lady lady
7,1995,Hold On,Jamie Walters,pop,m,i dont wanna see you ever sad everything ive got you can have when its all too much you need some human touch to see its really not so baddid you call on every saint you know still you feel like youre on your own can you see through your tears i will always be here youre not out there oh baby all alonehold on till you feel a little stronger hold on to me yeah now i said hold on everythings gonna be all right just hold on to me tonightanything that hurts you hurts me too im not gonna let your world turn blue will you take my hand and feel how close i am there aint nothing i wont do for youhold on till you feel a little stronger hold on to me yeah now i said hold on everythings gonna be all right just hold on to me tonighti know the world can drive you to your knees but when you need to cry baby cry to me yeahhold on till you feel a little stronger yeah hold on to me yeah now i said hold on everythings gonna be all right just hold on to me tonight yeah just hold on to me tonight
8,1995,Keep Their Heads Ringin',Dr. Dre,hip hop ,m,yeah what up this is dr dre the partys goin on thank god its friday buck buck buck buck booyaka shan buck buck buck buck booyaka shan buck buck buck buck booyaka shan buck buck buck buck booyaka shan keep their heads ringin ring ding dong ring a ding ding ding dong keep their heads ringin ring ding dong ring a ding ding ding dong uh yeah hey you sittin over there say what you better get up outta your chair thats right and work your body down yeah no time to funk around cuz we gon funk you right on up so get up get a move on and get your groove on its the dre the spectacula interparty i go for your neck so call me blackula as i drain a niggas jugular vein and maintain to leave blood stains so dont complain just chill listen to the beats i spill keepin it real enables me to make another meal still niggas run up and try to kill at will but get popped like a pimple so call me clearasil i wipe niggas off the face of the earth since birth ive been a bad nigga now let me tell ya what im worth more than a stealth bomba i cause drama the enforcer music floats like a flying saucer or a 747 jet never forget im that nigga that keeps the hoes panties wet the mike gets smoked once you hear the beat kicked with grooves so funky they come with a speed stick so check the flava that im bringin the motherfuckin dre i keep they motherfuckin heads ringin ring ding dong ring a ding ding ding dong keep their heads ringin ring ding dong ring a ding ding ding dong one two for the crew three four for the dough five for the hoes six seven eight for death row mad niggas bout to feel the full effect of intellect so i can collect respect plus a check now im fend to get into my men too and take care of this business i need to attend to Ì¢cuz my rents due and this rap shits my meal ticket so you goddamn right ima kick it or get evicted i bring terror like stephen king a black casanova runnin niggas over like christine when i rock the spot wit the flava i got i get plenty of ass call me an asstronaut as i blast past another niggas ass who thought he was strong but i smoke him like grass just like cheech and chong when i flow niggas know its time to take a hike Ì¢cuz i grab the mike and flip my tongue like a dike i got rhymes to keep you enchanted produce a smokescreen with the funky green and keep your eyes slanted so check the flava that im bringin the mothafunkin dre a keep their motherfuckin heads ringin ring ding dong ring a ding ding ding dong keep their heads ringin ring ding dong ring a ding ding ding dong yeah cmon if you want to get on down you gotta get on down just get on down debonair with flair i scare wear and tear without a care runnin shit as if i was a mayor but i aint no politician no competition sendin all opposition to see a mortician im up front never in the back drop i step on stage and get faded like a flattop your rhyme sounds like you bought Ì¢em at stopngo dre came to wax you so just call me mopnglo many try to but just cant ride wit im six one two twentyfive of pure chocolate your chances of jackin me are slim g Ì¢cuz i rock from summer Ì¢til santa comes down the chimney hoe hoe hoe and so as i continue to flow Ì¢cuz yo im just a fly negro so check the flava that im bringin the mothafuckin dre a keep their motherfuckin heads ringin ring ding dong ring a ding ding ding dong i keep their motherfuckin heads ringin ring ding dong ring a ding ding ding dong i keep their heads ringin ring ding dong ring a ding ding ding dong i keep their heads ringin ring ding dong ring a ding ding ding dong yeah uhh cmon if you want to get on down yeah death row back up in that ass you gotta get on down for the oneninenine to the nickel just get on down so all you motherfuckers out there tryin to get with this dont even try it if you want to get on down you couldnt see us with binoculars can you dig it you gotta get on down yeah uhh i know youre bobbin your head just get on down cause i can see you uhh i know youre bobbin your head cause i can see you you cant see me ha ha ha yeah death row let me know you in the house biotch ha ha yeah thats right we out
9,1995,Roll to Me,Del Amitri,rock,m,"Look around your world pretty baby Is it everything you hoped it'd be The wrong guy, the wrong situation The right time to roll to me Roll to me Look into your heart pretty baby, Is it aching with some nameless need. Is there something wrong and you can't put your finger on it Right then, roll to me And I don't think I have ever seen a soul so in despair So if you want to talk the night through Guess who will be there? So don't try to deny it pretty baby, You've been down so long you can hardly see When the engine's stalled and it won't stop raining It's the right time to roll to me Roll to me, Roll to me So Look around your world pretty baby Is it everything you hoped it'd be The wrong guy, the wrong situation The right time to roll to me The right time to roll to me The right time to roll to me Ooooohhhhh"
10,1995,Scream,Michael Jackson,pop,m,"Tired of injustice Tired of the schemes Kind of disgusted So what does this mean? Kicking me down I got to get up It's jacked as it sounds The whole system sucks A peek the shadow Come into the light You tell me I'm wrong Then you better prove you're right You're sellin out souls but I care about mine I've got to get stronger And I won't give up the fight With such confusions don't it make you wanna scream Your bash abusin victimize within the scheme You try to cope with every lie they scrutinize Somebody please have mercy Cause I just can't take it Stop pressurin me Just stop pressurin me Stop pressurin me Make me wanna scream Stop pressurin me Just stop pressurin me Stop pressurin me Make you just wanna scream Tired of you tellin the story your way It's causin confusion You think it's okay You Keep changin the rules While I'm playin the game I can't take it much longer I think I might go insane With such confusion don't it make you wanna scream Your bash abusin victimize within the scheme You find your pleasure scandalizin every lie Oh brother, please have mercy cause I just can't take it Stop pressurin me Just stop pressurin me Stop pressurin me Make me wanna scream Stop pressurin me Just stop pressurin me Stop fuckin with me Make me wanna scream ""Oh my God, can't believe what I saw As I turned on the TV this evening I was disgusted by all the injustice All the injustice"" ""All the injustice"" ""A man has been brutally beaten to death by Police after being wrongly identified as a Robbery suspect. The man was An 18 year old black male "" With such collusions don't it make you wanna scream Your bash abusin' victimize within the scheme You try to cope with every lie they scrutinize Oh Father please have mercybecause I just can't take it Stop pressurin me Just stop pressurin' me Stop pressurin me Make me wanna scream Stop pressurin me Just stop pressurin' me Stop pressurin me Make me wanna scream Stop pressurin me Just stop pressurin' me Stop pressurin me Make me wanna scream Stop pressurin me Just stop pressurin' me Stop pressurin me Make me wanna scream"
